Product ID,Title,Original Price,Discount Price,Discount Percentage,Brand,Category,Start Date,End Date,Description
https://www.karjistore.com/aigner-fashion-leather-men-bracelet-m-aj77073,Aigner Fashion Leather Men Bracelet M Aj77073,406.00 AED,325.00 AED,20%,Aigner,Accessories > Jewelry > Bracelet > Men,2025-08-10,2025-08-24,Premium leather bracelet with signature Aigner craftsmanship
https://www.karjistore.com/aigner-luxury-leather-wallet-black,Aigner Luxury Leather Wallet Black,380.00 AED,304.00 AED,20%,Aigner,Accessories > Leather Goods > Wallet > Men,2025-08-10,2025-08-31,Sophisticated leather wallet with multiple card slots and bill compartments
https://www.karjistore.com/mont-blanc-meisterstuck-pen,Mont Blanc Meisterstück Pen,890.00 AED,712.00 AED,20%,Mont Blanc,Accessories > Writing Instruments > Pen,2025-08-10,2025-08-17,Iconic luxury writing instrument with 18K gold nib
https://www.karjistore.com/cartier-trinity-ring-gold,Cartier Trinity Ring Gold,2850.00 AED,2565.00 AED,10%,Cartier,Accessories > Jewelry > Ring,2025-08-10,2025-08-24,Classic three-gold ring design - exclusive VIP discount
https://www.karjistore.com/hermes-kelly-scarf-silk,Hermès Kelly Scarf Silk,450.00 AED,360.00 AED,20%,Hermès,Accessories > Scarves > Silk,2025-08-10,2025-08-31,Luxurious silk scarf with iconic Hermès pattern
https://www.karjistore.com/rolex-oyster-perpetual-watch,Rolex Oyster Perpetual Watch,18500.00 AED,16650.00 AED,10%,Rolex,Accessories > Watches > Luxury,2025-08-10,2025-08-17,Swiss precision timepiece with automatic movement - rare discount
https://www.karjistore.com/louis-vuitton-damier-belt,Louis Vuitton Damier Belt,520.00 AED,416.00 AED,20%,Louis Vuitton,Accessories > Belts > Luxury,2025-08-10,2025-08-24,Iconic damier canvas belt with LV buckle
https://www.karjistore.com/gucci-ace-sneakers-white,Gucci Ace Sneakers White,650.00 AED,520.00 AED,20%,Gucci,Accessories > Footwear > Sneakers,2025-08-10,2025-08-31,Classic white leather sneakers with green and red stripe
https://www.karjistore.com/tiffany-heart-necklace-silver,Tiffany Heart Necklace Silver,780.00 AED,624.00 AED,20%,Tiffany & Co.,Accessories > Jewelry > Necklace,2025-08-10,2025-08-24,Elegant heart pendant in sterling silver
https://www.karjistore.com/burberry-trench-coat-beige,Burberry Trench Coat Beige,2400.00 AED,1920.00 AED,20%,Burberry,Accessories > Outerwear > Coat,2025-08-10,2025-08-31,Classic gabardine trench coat with heritage check lining